segment,segment_length,slope,avg_vehicle_speed,avg_Acceleration,avg_Total_Mass,SOC_difference,Total_Energy_Consumption,avg_Temperature
0,73.02079835813083,3.868915765716026,11.86053343859259,0.4736251403703704,1195.0,0.1379999999999981,21.528,27.5
1,70.72014516467091,2.165106519491983,14.9392761645,0.071212121,1195.0,0.0970000000000013,15.444,27.5
2,64.98505977600577,1.999643203339578,14.16449927090909,0.0461432509090909,1195.0,0.1000000000000014,16.068,27.5
3,72.70075204055415,2.842847860301561,15.043137255,-0.0613636365,1195.0,0.0940000000000012,15.444,27.5
4,68.57274933861224,2.4438366730854524,14.613636363333333,-0.0238095238095238,1195.0,0.0730000000000004,12.636,27.5
5,69.5154722678934,-0.1163456145087587,14.153382565238095,0.1154401152380952,1195.0,0.0589999999999975,9.204,27.5
6,69.69768569657688,-2.780800952685228,15.950910028947368,0.1004784689473684,1195.0,0.0090000000000003,1.56,27.5
7,73.34780267007265,-1.527779471321754,15.988324422,-0.0833333329999999,1195.0,0.009999999999998,1.7159999999999995,27.5
8,66.20930218013771,-3.4648424293704747,14.6711007125,0.007107843,1195.0,0.009999999999998,1.56,27.5
9,68.72339087360166,-5.178053550507218,14.95100384631579,-0.0425696594736842,1195.0,-0.0399999999999991,-6.24,27.5
10,74.53035468022367,-6.80905017913551,14.95762244304762,-0.2683982683809524,1195.0,-0.0499999999999971,-7.8,27.5
11,62.36565118435006,-1.932311068842609,12.741709090600002,0.0466666666399999,1195.0,0.0599999999999951,9.36,27.5
12,69.66064526749044,-8.073943166251103,12.183804960041668,0.2051767675000001,1195.0,-0.0109999999999956,-1.7160000000000004,27.5
13,67.73610146943784,-2.310093681203229,13.331589552608694,0.0757575760869564,1195.0,0.019999999999996,1.7159999999999995,27.5
14,71.26535507961597,0.4090893951938258,14.981327984999998,-0.184113191,1195.0,0.0300000000000011,4.68,27.5
15,69.50367929773888,-0.5227768284613238,14.7161764705,-0.025735294,1195.0,0.0410000000000039,7.8,27.5
16,70.68330518734433,0.7269424197097333,14.209511077619048,0.0158730157142857,1195.0,0.0489999999999994,7.800000000000001,27.5
17,71.36818792032885,0.6228023230754357,14.665966386190476,0.0728715728571428,1195.0,0.0499999999999971,7.800000000000001,27.5
18,71.89495085015292,0.1535318218137985,15.1049465235,-0.018181818,1195.0,0.0399999999999991,7.8,27.5
19,70.87962750990238,-1.277095070021111,15.234558824,-2.4286128663675298e-18,1195.0,0.0300000000000011,4.68,27.5
20,49.12279387965053,0.3625411899875015,13.2207502835,0.1002673795454545,1195.0,0.064,9.984000000000002,27.5
21,67.22996961408101,3.2475570463360963,12.536483763869567,-0.0017050295652173,1195.0,0.1329999999999955,21.684,27.5
22,72.89287922278486,4.15842936005004,11.257559252888887,0.1010101007407408,1195.0,0.1399999999999934,22.932,27.5
23,69.09613745632971,4.656402439085722,14.476530005238098,-0.2049062047619047,1195.0,0.0820000000000007,14.352,27.5
24,69.34018669654532,1.5300663498356908,14.277460884000003,-0.1749999999999999,1195.0,0.0800000000000054,13.728000000000002,27.5
25,72.45388942810862,3.1869790495138504,14.30400259181818,0.1308539945454545,1195.0,0.0909999999999939,14.663999999999998,27.5
